========CONFIG===========
part_labeled =  0.03
temp =  10.0
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 10 	 Loss: 821.240
Using the default mapping tsv
[Eval] Valid Acc. : 27.18% 	 (14376/52893)
[Eval] Test Acc. : 27.11% 	 (15431/56926)
LogitsTrain Time used: 10 	 Loss: 248.019
[Eval] Valid Acc. : 43.74% 	 (23138/52893)
[Eval] Test Acc. : 43.35% 	 (24678/56926)
LogitsTrain Time used: 10 	 Loss: 80.722
[Eval] Valid Acc. : 50.28% 	 (26593/52893)
[Eval] Test Acc. : 50.03% 	 (28480/56926)
LogitsTrain Time used: 10 	 Loss: 47.437
[Eval] Valid Acc. : 51.53% 	 (27256/52893)
[Eval] Test Acc. : 51.83% 	 (29502/56926)
LogitsTrain Time used: 10 	 Loss: 42.458
[Eval] Valid Acc. : 52.55% 	 (27794/52893)
[Eval] Test Acc. : 52.55% 	 (29917/56926)
LogitsTrain Time used: 10 	 Loss: 41.855
[Eval] Valid Acc. : 52.93% 	 (27998/52893)
[Eval] Test Acc. : 52.80% 	 (30059/56926)
LogitsTrain Time used: 10 	 Loss: 32.980
[Eval] Valid Acc. : 53.21% 	 (28147/52893)
[Eval] Test Acc. : 53.13% 	 (30246/56926)
LogitsTrain Time used: 10 	 Loss: 29.811
[Eval] Valid Acc. : 53.62% 	 (28360/52893)
[Eval] Test Acc. : 53.68% 	 (30557/56926)
LogitsTrain Time used: 10 	 Loss: 28.830
[Eval] Valid Acc. : 53.90% 	 (28510/52893)
[Eval] Test Acc. : 53.90% 	 (30684/56926)
LogitsTrain Time used: 10 	 Loss: 28.163
[Eval] Valid Acc. : 54.24% 	 (28689/52893)
[Eval] Test Acc. : 53.83% 	 (30644/56926)
LogitsTrain Time used: 10 	 Loss: 26.402
[Eval] Valid Acc. : 54.31% 	 (28727/52893)
[Eval] Test Acc. : 54.21% 	 (30861/56926)
LogitsTrain Time used: 10 	 Loss: 25.286
[Eval] Valid Acc. : 54.34% 	 (28742/52893)
[Eval] Test Acc. : 54.28% 	 (30898/56926)
LogitsTrain Time used: 10 	 Loss: 25.048
[Eval] Valid Acc. : 54.38% 	 (28763/52893)
[Eval] Test Acc. : 54.14% 	 (30819/56926)
LogitsTrain Time used: 10 	 Loss: 25.071
[Eval] Valid Acc. : 54.56% 	 (28857/52893)
[Eval] Test Acc. : 54.33% 	 (30930/56926)
LogitsTrain Time used: 10 	 Loss: 23.771
[Eval] Valid Acc. : 54.75% 	 (28960/52893)
