========CONFIG===========
part_labeled =  0.3
temp =  0.5
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 14 	 Loss: 244.755
Using the default mapping tsv
[Eval] Valid Acc. : 30.49% 	 (16507/54138)
[Eval] Test Acc. : 28.58% 	 (16272/56926)
LogitsTrain Time used: 14 	 Loss: 154.882
[Eval] Valid Acc. : 48.70% 	 (26366/54138)
[Eval] Test Acc. : 47.67% 	 (27136/56926)
LogitsTrain Time used: 14 	 Loss: 99.123
[Eval] Valid Acc. : 58.43% 	 (31635/54138)
[Eval] Test Acc. : 57.45% 	 (32704/56926)
LogitsTrain Time used: 14 	 Loss: 81.735
[Eval] Valid Acc. : 60.65% 	 (32832/54138)
[Eval] Test Acc. : 59.63% 	 (33944/56926)
LogitsTrain Time used: 14 	 Loss: 75.910
[Eval] Valid Acc. : 61.15% 	 (33103/54138)
[Eval] Test Acc. : 59.55% 	 (33897/56926)
LogitsTrain Time used: 14 	 Loss: 72.284
[Eval] Valid Acc. : 61.34% 	 (33206/54138)
[Eval] Test Acc. : 60.56% 	 (34473/56926)
LogitsTrain Time used: 14 	 Loss: 62.259
[Eval] Valid Acc. : 65.81% 	 (35627/54138)
[Eval] Test Acc. : 64.32% 	 (36615/56926)
LogitsTrain Time used: 14 	 Loss: 55.467
[Eval] Valid Acc. : 66.86% 	 (36196/54138)
[Eval] Test Acc. : 65.48% 	 (37275/56926)
LogitsTrain Time used: 14 	 Loss: 54.276
[Eval] Valid Acc. : 64.67% 	 (35009/54138)
[Eval] Test Acc. : 63.65% 	 (36231/56926)
LogitsTrain Time used: 14 	 Loss: 54.572
[Eval] Valid Acc. : 65.94% 	 (35701/54138)
[Eval] Test Acc. : 64.86% 	 (36923/56926)
LogitsTrain Time used: 14 	 Loss: 50.292
[Eval] Valid Acc. : 68.69% 	 (37186/54138)
[Eval] Test Acc. : 67.33% 	 (38329/56926)
LogitsTrain Time used: 14 	 Loss: 46.582
[Eval] Valid Acc. : 68.97% 	 (37339/54138)
[Eval] Test Acc. : 67.92% 	 (38666/56926)
LogitsTrain Time used: 14 	 Loss: 46.500
[Eval] Valid Acc. : 67.45% 	 (36515/54138)
[Eval] Test Acc. : 66.58% 	 (37900/56926)
LogitsTrain Time used: 14 	 Loss: 47.710
[Eval] Valid Acc. : 68.07% 	 (36851/54138)
[Eval] Test Acc. : 67.19% 	 (38247/56926)
LogitsTrain Time used: 14 	 Loss: 44.614
[Eval] Valid Acc. : 69.46% 	 (37606/54138)
[Eval] Test Acc. : 68.22% 	 (38833/56926)
LogitsTrain Time used: 14 	 Loss: 41.914
[Eval] Valid Acc. : 70.22% 	 (38016/54138)
[Eval] Test Acc. : 68.72% 	 (39118/56926)
LogitsTrain Time used: 14 	 Loss: 42.449
[Eval] Valid Acc. : 68.32% 	 (36985/54138)
[Eval] Test Acc. : 67.24% 	 (38276/56926)
LogitsTrain Time used: 14 	 Loss: 43.900
[Eval] Valid Acc. : 69.78% 	 (37777/54138)
[Eval] Test Acc. : 68.04% 	 (38735/56926)
