========CONFIG===========
part_labeled =  0.3
temp =  2.0
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 14 	 Loss: 2155.012
Using the default mapping tsv
[Eval] Valid Acc. : 37.75% 	 (20438/54138)
[Eval] Test Acc. : 36.33% 	 (20679/56926)
LogitsTrain Time used: 14 	 Loss: 1000.493
[Eval] Valid Acc. : 55.10% 	 (29832/54138)
[Eval] Test Acc. : 54.44% 	 (30993/56926)
LogitsTrain Time used: 14 	 Loss: 539.120
[Eval] Valid Acc. : 63.83% 	 (34555/54138)
[Eval] Test Acc. : 62.81% 	 (35758/56926)
LogitsTrain Time used: 14 	 Loss: 394.215
[Eval] Valid Acc. : 66.23% 	 (35855/54138)
[Eval] Test Acc. : 65.26% 	 (37152/56926)
LogitsTrain Time used: 14 	 Loss: 358.818
[Eval] Valid Acc. : 65.99% 	 (35725/54138)
[Eval] Test Acc. : 64.93% 	 (36960/56926)
LogitsTrain Time used: 14 	 Loss: 347.353
[Eval] Valid Acc. : 66.54% 	 (36026/54138)
[Eval] Test Acc. : 65.91% 	 (37522/56926)
LogitsTrain Time used: 13 	 Loss: 301.548
[Eval] Valid Acc. : 70.02% 	 (37909/54138)
[Eval] Test Acc. : 68.21% 	 (38830/56926)
LogitsTrain Time used: 14 	 Loss: 266.651
[Eval] Valid Acc. : 70.31% 	 (38065/54138)
[Eval] Test Acc. : 68.93% 	 (39240/56926)
LogitsTrain Time used: 14 	 Loss: 260.273
[Eval] Valid Acc. : 70.05% 	 (37926/54138)
[Eval] Test Acc. : 68.32% 	 (38890/56926)
LogitsTrain Time used: 14 	 Loss: 267.825
[Eval] Valid Acc. : 69.31% 	 (37525/54138)
[Eval] Test Acc. : 68.19% 	 (38816/56926)
LogitsTrain Time used: 14 	 Loss: 253.103
[Eval] Valid Acc. : 71.23% 	 (38564/54138)
[Eval] Test Acc. : 69.35% 	 (39477/56926)
LogitsTrain Time used: 13 	 Loss: 229.983
[Eval] Valid Acc. : 71.54% 	 (38732/54138)
[Eval] Test Acc. : 69.88% 	 (39782/56926)
LogitsTrain Time used: 14 	 Loss: 228.530
[Eval] Valid Acc. : 70.73% 	 (38294/54138)
[Eval] Test Acc. : 69.34% 	 (39475/56926)
LogitsTrain Time used: 13 	 Loss: 241.045
[Eval] Valid Acc. : 71.29% 	 (38596/54138)
[Eval] Test Acc. : 69.10% 	 (39334/56926)
LogitsTrain Time used: 13 	 Loss: 226.706
[Eval] Valid Acc. : 72.00% 	 (38978/54138)
[Eval] Test Acc. : 70.01% 	 (39855/56926)
LogitsTrain Time used: 14 	 Loss: 210.003
[Eval] Valid Acc. : 72.02% 	 (38988/54138)
[Eval] Test Acc. : 70.18% 	 (39948/56926)
LogitsTrain Time used: 14 	 Loss: 214.018
[Eval] Valid Acc. : 70.91% 	 (38388/54138)
[Eval] Test Acc. : 68.96% 	 (39255/56926)
LogitsTrain Time used: 13 	 Loss: 225.745
[Eval] Valid Acc. : 71.06% 	 (38468/54138)
[Eval] Test Acc. : 69.48% 	 (39554/56926)
LogitsTrain Time used: 14 	 Loss: 211.730
[Eval] Valid Acc. : 72.48% 	 (39237/54138)
[Eval] Test Acc. : 70.48% 	 (40122/56926)
LogitsTrain Time used: 14 	 Loss: 198.176
[Eval] Valid Acc. : 72.27% 	 (39125/54138)
[Eval] Test Acc. : 70.51% 	 (40139/56926)
LogitsTrain Time used: 14 	 Loss: 203.144
[Eval] Valid Acc. : 71.49% 	 (38704/54138)
[Eval] Test Acc. : 69.50% 	 (39562/56926)
LogitsTrain Time used: 14 	 Loss: 216.709
[Eval] Valid Acc. : 70.33% 	 (38077/54138)
[Eval] Test Acc. : 69.03% 	 (39295/56926)
LogitsTrain Time used: 14 	 Loss: 205.672
[Eval] Valid Acc. : 72.50% 	 (39251/54138)
[Eval] Test Acc. : 70.52% 	 (40147/56926)
LogitsTrain Time used: 14 	 Loss: 191.423
[Eval] Valid Acc. : 72.32% 	 (39150/54138)
[Eval] Test Acc. : 70.37% 	 (40060/56926)
LogitsTrain Time used: 14 	 Loss: 197.344
[Eval] Valid Acc. : 71.35% 	 (38630/54138)
[Eval] Test Acc. : 68.89% 	 (39217/56926)
LogitsTrain Time used: 14 	 Loss: 205.340
[Eval] Valid Acc. : 71.46% 	 (38687/54138)
[Eval] Test Acc. : 70.12% 	 (39915/56926)
LogitsTrain Time used: 14 	 Loss: 191.583
[Eval] Valid Acc. : 72.49% 	 (39246/54138)
[Eval] Test Acc. : 70.55% 	 (40161/56926)
LogitsTrain Time used: 13 	 Loss: 181.531
[Eval] Valid Acc. : 72.39% 	 (39188/54138)
[Eval] Test Acc. : 70.37% 	 (40058/56926)
LogitsTrain Time used: 14 	 Loss: 191.905
[Eval] Valid Acc. : 71.51% 	 (38713/54138)
[Eval] Test Acc. : 69.67% 	 (39661/56926)
LogitsTrain Time used: 14 	 Loss: 199.470
[Eval] Valid Acc. : 72.17% 	 (39069/54138)
[Eval] Test Acc. : 69.90% 	 (39792/56926)
LogitsTrain Time used: 14 	 Loss: 185.078
[Eval] Valid Acc. : 72.92% 	 (39477/54138)
[Eval] Test Acc. : 70.69% 	 (40242/56926)
LogitsTrain Time used: 14 	 Loss: 176.415
[Eval] Valid Acc. : 72.55% 	 (39278/54138)
[Eval] Test Acc. : 70.36% 	 (40053/56926)
LogitsTrain Time used: 14 	 Loss: 186.708
[Eval] Valid Acc. : 71.67% 	 (38798/54138)
[Eval] Test Acc. : 69.77% 	 (39717/56926)
LogitsTrain Time used: 14 	 Loss: 189.972
[Eval] Valid Acc. : 72.66% 	 (39336/54138)
[Eval] Test Acc. : 70.70% 	 (40244/56926)
LogitsTrain Time used: 14 	 Loss: 177.943
[Eval] Valid Acc. : 72.90% 	 (39467/54138)
[Eval] Test Acc. : 70.86% 	 (40335/56926)
LogitsTrain Time used: 14 	 Loss: 172.073
[Eval] Valid Acc. : 72.58% 	 (39291/54138)
[Eval] Test Acc. : 70.70% 	 (40249/56926)
LogitsTrain Time used: 14 	 Loss: 183.942
[Eval] Valid Acc. : 72.30% 	 (39143/54138)
[Eval] Test Acc. : 69.98% 	 (39834/56926)
LogitsTrain Time used: 14 	 Loss: 186.636
[Eval] Valid Acc. : 72.64% 	 (39326/54138)
[Eval] Test Acc. : 70.74% 	 (40267/56926)
LogitsTrain Time used: 14 	 Loss: 172.739
[Eval] Valid Acc. : 72.87% 	 (39452/54138)
[Eval] Test Acc. : 70.87% 	 (40345/56926)
LogitsTrain Time used: 14 	 Loss: 169.802
[Eval] Valid Acc. : 71.82% 	 (38881/54138)
[Eval] Test Acc. : 69.50% 	 (39562/56926)
LogitsTrain Time used: 14 	 Loss: 182.691
[Eval] Valid Acc. : 71.81% 	 (38874/54138)
[Eval] Test Acc. : 69.64% 	 (39641/56926)
LogitsTrain Time used: 14 	 Loss: 180.666
[Eval] Valid Acc. : 72.41% 	 (39202/54138)
[Eval] Test Acc. : 70.34% 	 (40044/56926)
LogitsTrain Time used: 13 	 Loss: 168.319
[Eval] Valid Acc. : 72.89% 	 (39462/54138)
[Eval] Test Acc. : 70.98% 	 (40407/56926)
LogitsTrain Time used: 14 	 Loss: 167.142
[Eval] Valid Acc. : 72.09% 	 (39028/54138)
[Eval] Test Acc. : 69.94% 	 (39815/56926)
LogitsTrain Time used: 14 	 Loss: 181.512
[Eval] Valid Acc. : 72.22% 	 (39101/54138)
[Eval] Test Acc. : 70.04% 	 (39872/56926)
LogitsTrain Time used: 14 	 Loss: 174.440
[Eval] Valid Acc. : 72.77% 	 (39394/54138)
[Eval] Test Acc. : 70.69% 	 (40241/56926)
LogitsTrain Time used: 14 	 Loss: 163.054
[Eval] Valid Acc. : 72.83% 	 (39426/54138)
[Eval] Test Acc. : 70.76% 	 (40278/56926)
LogitsTrain Time used: 14 	 Loss: 165.000
[Eval] Valid Acc. : 72.31% 	 (39148/54138)
[Eval] Test Acc. : 70.75% 	 (40274/56926)
LogitsTrain Time used: 14 	 Loss: 179.216
[Eval] Valid Acc. : 71.71% 	 (38820/54138)
[Eval] Test Acc. : 69.40% 	 (39504/56926)
LogitsTrain Time used: 14 	 Loss: 173.896
[Eval] Valid Acc. : 72.61% 	 (39312/54138)
[Eval] Test Acc. : 70.63% 	 (40205/56926)
Finish training student!
[Result][Student] Best epoch : 30 	Valid. Acc. : 72.9192% 	 Test Acc.: 70.6918%
