========CONFIG===========
part_labeled =  0.05
temp =  10.0
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 10 	 Loss: 1070.629
Using the default mapping tsv
[Eval] Valid Acc. : 28.79% 	 (15230/52893)
[Eval] Test Acc. : 28.14% 	 (16021/56926)
LogitsTrain Time used: 10 	 Loss: 406.489
[Eval] Valid Acc. : 47.53% 	 (25141/52893)
[Eval] Test Acc. : 46.80% 	 (26640/56926)
LogitsTrain Time used: 10 	 Loss: 140.128
[Eval] Valid Acc. : 56.06% 	 (29654/52893)
[Eval] Test Acc. : 54.95% 	 (31280/56926)
LogitsTrain Time used: 10 	 Loss: 83.859
[Eval] Valid Acc. : 57.04% 	 (30169/52893)
[Eval] Test Acc. : 56.18% 	 (31982/56926)
LogitsTrain Time used: 10 	 Loss: 75.109
[Eval] Valid Acc. : 57.30% 	 (30310/52893)
[Eval] Test Acc. : 56.46% 	 (32138/56926)
LogitsTrain Time used: 10 	 Loss: 70.507
[Eval] Valid Acc. : 58.22% 	 (30795/52893)
[Eval] Test Acc. : 57.74% 	 (32869/56926)
LogitsTrain Time used: 10 	 Loss: 59.261
[Eval] Valid Acc. : 58.91% 	 (31161/52893)
[Eval] Test Acc. : 58.37% 	 (33228/56926)
LogitsTrain Time used: 9 	 Loss: 53.268
[Eval] Valid Acc. : 59.25% 	 (31338/52893)
[Eval] Test Acc. : 58.61% 	 (33366/56926)
LogitsTrain Time used: 10 	 Loss: 51.896
[Eval] Valid Acc. : 58.73% 	 (31065/52893)
[Eval] Test Acc. : 58.17% 	 (33116/56926)
LogitsTrain Time used: 10 	 Loss: 57.571
[Eval] Valid Acc. : 59.62% 	 (31535/52893)
[Eval] Test Acc. : 58.76% 	 (33449/56926)
LogitsTrain Time used: 10 	 Loss: 48.725
[Eval] Valid Acc. : 59.76% 	 (31608/52893)
[Eval] Test Acc. : 59.26% 	 (33734/56926)
LogitsTrain Time used: 9 	 Loss: 45.733
[Eval] Valid Acc. : 59.84% 	 (31650/52893)
[Eval] Test Acc. : 59.18% 	 (33689/56926)
LogitsTrain Time used: 10 	 Loss: 45.500
[Eval] Valid Acc. : 60.36% 	 (31925/52893)
[Eval] Test Acc. : 59.57% 	 (33910/56926)
LogitsTrain Time used: 10 	 Loss: 48.674
[Eval] Valid Acc. : 59.80% 	 (31629/52893)
[Eval] Test Acc. : 59.05% 	 (33613/56926)
LogitsTrain Time used: 10 	 Loss: 44.131
[Eval] Valid Acc. : 59.99% 	 (31733/52893)
[Eval] Test Acc. : 59.20% 	 (33703/56926)
LogitsTrain Time used: 10 	 Loss: 42.273
[Eval] Valid Acc. : 59.87% 	 (31669/52893)
[Eval] Test Acc. : 59.18% 	 (33686/56926)
LogitsTrain Time used: 10 	 Loss: 42.143
[Eval] Valid Acc. : 59.94% 	 (31705/52893)
[Eval] Test Acc. : 59.03% 	 (33602/56926)
LogitsTrain Time used: 10 	 Loss: 43.926
