========CONFIG===========
part_labeled =  0.05
temp =  500.0
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 4 	 Loss: 1057.262
Using the default mapping tsv
[Eval] Valid Acc. : 28.84% 	 (15615/54138)
[Eval] Test Acc. : 26.92% 	 (15324/56926)
LogitsTrain Time used: 4 	 Loss: 402.757
[Eval] Valid Acc. : 46.18% 	 (25002/54138)
[Eval] Test Acc. : 45.01% 	 (25624/56926)
LogitsTrain Time used: 4 	 Loss: 123.314
[Eval] Valid Acc. : 56.20% 	 (30427/54138)
[Eval] Test Acc. : 54.76% 	 (31173/56926)
LogitsTrain Time used: 4 	 Loss: 77.923
[Eval] Valid Acc. : 57.78% 	 (31282/54138)
[Eval] Test Acc. : 56.49% 	 (32159/56926)
LogitsTrain Time used: 4 	 Loss: 69.846
[Eval] Valid Acc. : 58.75% 	 (31807/54138)
[Eval] Test Acc. : 57.29% 	 (32614/56926)
LogitsTrain Time used: 4 	 Loss: 65.656
[Eval] Valid Acc. : 58.88% 	 (31874/54138)
[Eval] Test Acc. : 57.17% 	 (32543/56926)
LogitsTrain Time used: 4 	 Loss: 57.511
[Eval] Valid Acc. : 60.26% 	 (32623/54138)
[Eval] Test Acc. : 58.81% 	 (33477/56926)
LogitsTrain Time used: 4 	 Loss: 48.287
[Eval] Valid Acc. : 60.56% 	 (32787/54138)
[Eval] Test Acc. : 59.18% 	 (33686/56926)
LogitsTrain Time used: 4 	 Loss: 46.749
[Eval] Valid Acc. : 60.54% 	 (32777/54138)
[Eval] Test Acc. : 59.07% 	 (33627/56926)
LogitsTrain Time used: 4 	 Loss: 46.627
[Eval] Valid Acc. : 60.86% 	 (32946/54138)
[Eval] Test Acc. : 59.24% 	 (33721/56926)
LogitsTrain Time used: 4 	 Loss: 43.553
[Eval] Valid Acc. : 61.31% 	 (33194/54138)
[Eval] Test Acc. : 59.57% 	 (33908/56926)
LogitsTrain Time used: 4 	 Loss: 40.088
[Eval] Valid Acc. : 61.41% 	 (33246/54138)
[Eval] Test Acc. : 59.84% 	 (34065/56926)
LogitsTrain Time used: 4 	 Loss: 39.624
[Eval] Valid Acc. : 61.26% 	 (33163/54138)
[Eval] Test Acc. : 59.77% 	 (34024/56926)
LogitsTrain Time used: 4 	 Loss: 41.565
[Eval] Valid Acc. : 61.44% 	 (33265/54138)
[Eval] Test Acc. : 59.63% 	 (33946/56926)
LogitsTrain Time used: 4 	 Loss: 37.862
[Eval] Valid Acc. : 61.80% 	 (33457/54138)
[Eval] Test Acc. : 60.03% 	 (34174/56926)
LogitsTrain Time used: 4 	 Loss: 36.056
[Eval] Valid Acc. : 61.82% 	 (33467/54138)
[Eval] Test Acc. : 60.11% 	 (34219/56926)
LogitsTrain Time used: 4 	 Loss: 36.233
[Eval] Valid Acc. : 61.60% 	 (33350/54138)
[Eval] Test Acc. : 59.87% 	 (34081/56926)
LogitsTrain Time used: 4 	 Loss: 39.080
[Eval] Valid Acc. : 61.95% 	 (33540/54138)
[Eval] Test Acc. : 60.11% 	 (34217/56926)
LogitsTrain Time used: 4 	 Loss: 35.234
[Eval] Valid Acc. : 62.02% 	 (33578/54138)
[Eval] Test Acc. : 60.18% 	 (34256/56926)
LogitsTrain Time used: 4 	 Loss: 33.584
[Eval] Valid Acc. : 62.10% 	 (33617/54138)
[Eval] Test Acc. : 60.24% 	 (34292/56926)
LogitsTrain Time used: 4 	 Loss: 34.129
[Eval] Valid Acc. : 61.75% 	 (33432/54138)
[Eval] Test Acc. : 60.03% 	 (34172/56926)
LogitsTrain Time used: 4 	 Loss: 36.833
[Eval] Valid Acc. : 61.95% 	 (33539/54138)
[Eval] Test Acc. : 60.27% 	 (34308/56926)
LogitsTrain Time used: 4 	 Loss: 33.218
[Eval] Valid Acc. : 62.17% 	 (33660/54138)
[Eval] Test Acc. : 60.35% 	 (34355/56926)
LogitsTrain Time used: 4 	 Loss: 31.937
[Eval] Valid Acc. : 62.21% 	 (33677/54138)
[Eval] Test Acc. : 60.33% 	 (34346/56926)
LogitsTrain Time used: 4 	 Loss: 32.565
[Eval] Valid Acc. : 62.03% 	 (33580/54138)
[Eval] Test Acc. : 60.18% 	 (34258/56926)
LogitsTrain Time used: 4 	 Loss: 34.897
[Eval] Valid Acc. : 62.15% 	 (33645/54138)
[Eval] Test Acc. : 60.35% 	 (34357/56926)
LogitsTrain Time used: 4 	 Loss: 31.551
[Eval] Valid Acc. : 62.35% 	 (33755/54138)
[Eval] Test Acc. : 60.54% 	 (34461/56926)
LogitsTrain Time used: 4 	 Loss: 30.547
[Eval] Valid Acc. : 62.35% 	 (33755/54138)
[Eval] Test Acc. : 60.37% 	 (34368/56926)
LogitsTrain Time used: 4 	 Loss: 31.552
[Eval] Valid Acc. : 62.06% 	 (33600/54138)
[Eval] Test Acc. : 60.08% 	 (34199/56926)
LogitsTrain Time used: 4 	 Loss: 33.569
[Eval] Valid Acc. : 62.44% 	 (33802/54138)
[Eval] Test Acc. : 60.49% 	 (34434/56926)
LogitsTrain Time used: 4 	 Loss: 30.167
[Eval] Valid Acc. : 62.48% 	 (33825/54138)
[Eval] Test Acc. : 60.66% 	 (34533/56926)
LogitsTrain Time used: 4 	 Loss: 29.594
[Eval] Valid Acc. : 62.46% 	 (33814/54138)
[Eval] Test Acc. : 60.51% 	 (34445/56926)
LogitsTrain Time used: 4 	 Loss: 30.766
[Eval] Valid Acc. : 61.97% 	 (33551/54138)
[Eval] Test Acc. : 60.05% 	 (34183/56926)
LogitsTrain Time used: 4 	 Loss: 33.001
[Eval] Valid Acc. : 62.39% 	 (33774/54138)
[Eval] Test Acc. : 60.59% 	 (34490/56926)
LogitsTrain Time used: 4 	 Loss: 29.178
[Eval] Valid Acc. : 62.48% 	 (33824/54138)
[Eval] Test Acc. : 60.75% 	 (34585/56926)
LogitsTrain Time used: 4 	 Loss: 28.736
[Eval] Valid Acc. : 62.47% 	 (33818/54138)
[Eval] Test Acc. : 60.58% 	 (34487/56926)
LogitsTrain Time used: 4 	 Loss: 30.203
[Eval] Valid Acc. : 62.20% 	 (33675/54138)
[Eval] Test Acc. : 60.31% 	 (34330/56926)
LogitsTrain Time used: 4 	 Loss: 31.038
[Eval] Valid Acc. : 62.53% 	 (33852/54138)
[Eval] Test Acc. : 60.56% 	 (34472/56926)
LogitsTrain Time used: 4 	 Loss: 28.294
[Eval] Valid Acc. : 62.56% 	 (33868/54138)
[Eval] Test Acc. : 60.83% 	 (34629/56926)
LogitsTrain Time used: 4 	 Loss: 28.091
[Eval] Valid Acc. : 62.61% 	 (33897/54138)
[Eval] Test Acc. : 60.60% 	 (34499/56926)
LogitsTrain Time used: 4 	 Loss: 29.510
[Eval] Valid Acc. : 62.30% 	 (33730/54138)
[Eval] Test Acc. : 60.42% 	 (34396/56926)
LogitsTrain Time used: 4 	 Loss: 30.276
[Eval] Valid Acc. : 62.66% 	 (33925/54138)
[Eval] Test Acc. : 60.58% 	 (34484/56926)
LogitsTrain Time used: 4 	 Loss: 27.610
[Eval] Valid Acc. : 62.63% 	 (33904/54138)
[Eval] Test Acc. : 60.85% 	 (34639/56926)
LogitsTrain Time used: 4 	 Loss: 27.438
[Eval] Valid Acc. : 62.63% 	 (33904/54138)
[Eval] Test Acc. : 60.67% 	 (34537/56926)
LogitsTrain Time used: 4 	 Loss: 28.650
[Eval] Valid Acc. : 62.37% 	 (33765/54138)
[Eval] Test Acc. : 60.46% 	 (34417/56926)
LogitsTrain Time used: 4 	 Loss: 28.728
[Eval] Valid Acc. : 62.68% 	 (33936/54138)
[Eval] Test Acc. : 60.68% 	 (34541/56926)
LogitsTrain Time used: 4 	 Loss: 26.825
[Eval] Valid Acc. : 62.69% 	 (33941/54138)
[Eval] Test Acc. : 60.87% 	 (34652/56926)
LogitsTrain Time used: 4 	 Loss: 26.954
[Eval] Valid Acc. : 62.60% 	 (33892/54138)
[Eval] Test Acc. : 60.79% 	 (34603/56926)
LogitsTrain Time used: 4 	 Loss: 28.417
[Eval] Valid Acc. : 62.52% 	 (33849/54138)
[Eval] Test Acc. : 60.56% 	 (34473/56926)
LogitsTrain Time used: 4 	 Loss: 27.865
[Eval] Valid Acc. : 62.72% 	 (33955/54138)
[Eval] Test Acc. : 60.75% 	 (34580/56926)
Finish training student!
[Result][Student] Best epoch : 49 	Valid. Acc. : 62.7193% 	 Test Acc.: 60.7455%
