========CONFIG===========
part_labeled =  0.3
temp =  0.5
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 15 	 Loss: 241.081
Using the default mapping tsv
[Eval] Valid Acc. : 33.96% 	 (18386/54138)
[Eval] Test Acc. : 32.23% 	 (18348/56926)
LogitsTrain Time used: 15 	 Loss: 144.420
[Eval] Valid Acc. : 50.05% 	 (27098/54138)
[Eval] Test Acc. : 49.23% 	 (28023/56926)
LogitsTrain Time used: 15 	 Loss: 89.954
[Eval] Valid Acc. : 57.48% 	 (31120/54138)
[Eval] Test Acc. : 56.11% 	 (31944/56926)
LogitsTrain Time used: 15 	 Loss: 73.392
[Eval] Valid Acc. : 61.32% 	 (33198/54138)
[Eval] Test Acc. : 60.06% 	 (34187/56926)
LogitsTrain Time used: 15 	 Loss: 66.865
[Eval] Valid Acc. : 59.93% 	 (32443/54138)
[Eval] Test Acc. : 59.18% 	 (33686/56926)
LogitsTrain Time used: 15 	 Loss: 61.801
[Eval] Valid Acc. : 62.64% 	 (33912/54138)
[Eval] Test Acc. : 61.48% 	 (34998/56926)
LogitsTrain Time used: 15 	 Loss: 51.796
[Eval] Valid Acc. : 65.44% 	 (35430/54138)
[Eval] Test Acc. : 63.86% 	 (36355/56926)
LogitsTrain Time used: 15 	 Loss: 45.958
[Eval] Valid Acc. : 66.98% 	 (36262/54138)
[Eval] Test Acc. : 65.72% 	 (37410/56926)
LogitsTrain Time used: 14 	 Loss: 44.136
[Eval] Valid Acc. : 65.98% 	 (35718/54138)
[Eval] Test Acc. : 64.78% 	 (36874/56926)
LogitsTrain Time used: 15 	 Loss: 44.463
[Eval] Valid Acc. : 66.99% 	 (36266/54138)
[Eval] Test Acc. : 65.75% 	 (37431/56926)
LogitsTrain Time used: 15 	 Loss: 39.897
[Eval] Valid Acc. : 68.45% 	 (37060/54138)
[Eval] Test Acc. : 66.77% 	 (38012/56926)
LogitsTrain Time used: 15 	 Loss: 36.874
[Eval] Valid Acc. : 69.23% 	 (37478/54138)
[Eval] Test Acc. : 67.38% 	 (38356/56926)
LogitsTrain Time used: 15 	 Loss: 36.715
[Eval] Valid Acc. : 68.27% 	 (36962/54138)
[Eval] Test Acc. : 66.84% 	 (38049/56926)
LogitsTrain Time used: 15 	 Loss: 37.575
[Eval] Valid Acc. : 68.56% 	 (37118/54138)
[Eval] Test Acc. : 67.11% 	 (38201/56926)
LogitsTrain Time used: 15 	 Loss: 34.849
[Eval] Valid Acc. : 69.88% 	 (37830/54138)
[Eval] Test Acc. : 67.97% 	 (38694/56926)
LogitsTrain Time used: 14 	 Loss: 32.364
[Eval] Valid Acc. : 70.18% 	 (37992/54138)
[Eval] Test Acc. : 68.18% 	 (38812/56926)
LogitsTrain Time used: 14 	 Loss: 32.930
[Eval] Valid Acc. : 69.72% 	 (37747/54138)
[Eval] Test Acc. : 68.00% 	 (38708/56926)
LogitsTrain Time used: 15 	 Loss: 33.529
[Eval] Valid Acc. : 69.80% 	 (37791/54138)
[Eval] Test Acc. : 67.95% 	 (38683/56926)
LogitsTrain Time used: 15 	 Loss: 31.592
[Eval] Valid Acc. : 70.59% 	 (38218/54138)
[Eval] Test Acc. : 68.80% 	 (39166/56926)
LogitsTrain Time used: 15 	 Loss: 29.717
[Eval] Valid Acc. : 70.60% 	 (38223/54138)
[Eval] Test Acc. : 68.68% 	 (39096/56926)
LogitsTrain Time used: 15 	 Loss: 30.567
[Eval] Valid Acc. : 70.38% 	 (38101/54138)
[Eval] Test Acc. : 68.59% 	 (39044/56926)
LogitsTrain Time used: 15 	 Loss: 30.786
[Eval] Valid Acc. : 70.60% 	 (38220/54138)
[Eval] Test Acc. : 68.53% 	 (39011/56926)
LogitsTrain Time used: 15 	 Loss: 29.249
[Eval] Valid Acc. : 71.06% 	 (38472/54138)
[Eval] Test Acc. : 69.40% 	 (39505/56926)
LogitsTrain Time used: 15 	 Loss: 27.766
[Eval] Valid Acc. : 70.89% 	 (38380/54138)
[Eval] Test Acc. : 69.04% 	 (39302/56926)
LogitsTrain Time used: 15 	 Loss: 28.656
[Eval] Valid Acc. : 70.93% 	 (38402/54138)
[Eval] Test Acc. : 68.82% 	 (39178/56926)
LogitsTrain Time used: 15 	 Loss: 28.710
[Eval] Valid Acc. : 70.98% 	 (38428/54138)
[Eval] Test Acc. : 69.04% 	 (39300/56926)
LogitsTrain Time used: 15 	 Loss: 27.557
[Eval] Valid Acc. : 71.34% 	 (38622/54138)
[Eval] Test Acc. : 69.87% 	 (39772/56926)
