========CONFIG===========
part_labeled =  0.03
temp =  0.5
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 14 	 Loss: 218.879
Using the default mapping tsv
[Eval] Valid Acc. : 25.19% 	 (13639/54138)
[Eval] Test Acc. : 23.43% 	 (13340/56926)
LogitsTrain Time used: 15 	 Loss: 108.367
[Eval] Valid Acc. : 49.16% 	 (26613/54138)
[Eval] Test Acc. : 47.52% 	 (27053/56926)
LogitsTrain Time used: 15 	 Loss: 48.696
[Eval] Valid Acc. : 54.00% 	 (29236/54138)
[Eval] Test Acc. : 52.75% 	 (30027/56926)
LogitsTrain Time used: 15 	 Loss: 36.200
[Eval] Valid Acc. : 54.99% 	 (29768/54138)
[Eval] Test Acc. : 53.62% 	 (30521/56926)
LogitsTrain Time used: 15 	 Loss: 32.832
[Eval] Valid Acc. : 55.35% 	 (29965/54138)
[Eval] Test Acc. : 54.25% 	 (30881/56926)
LogitsTrain Time used: 15 	 Loss: 30.316
[Eval] Valid Acc. : 54.24% 	 (29366/54138)
[Eval] Test Acc. : 52.98% 	 (30158/56926)
LogitsTrain Time used: 15 	 Loss: 26.132
[Eval] Valid Acc. : 56.76% 	 (30728/54138)
[Eval] Test Acc. : 55.24% 	 (31446/56926)
LogitsTrain Time used: 15 	 Loss: 22.506
[Eval] Valid Acc. : 56.97% 	 (30840/54138)
[Eval] Test Acc. : 55.68% 	 (31699/56926)
LogitsTrain Time used: 15 	 Loss: 21.615
[Eval] Valid Acc. : 56.84% 	 (30774/54138)
[Eval] Test Acc. : 55.71% 	 (31711/56926)
LogitsTrain Time used: 15 	 Loss: 21.965
[Eval] Valid Acc. : 56.85% 	 (30778/54138)
[Eval] Test Acc. : 55.34% 	 (31503/56926)
LogitsTrain Time used: 15 	 Loss: 20.048
[Eval] Valid Acc. : 57.21% 	 (30975/54138)
[Eval] Test Acc. : 56.00% 	 (31881/56926)
LogitsTrain Time used: 15 	 Loss: 18.237
[Eval] Valid Acc. : 57.39% 	 (31072/54138)
[Eval] Test Acc. : 56.28% 	 (32039/56926)
LogitsTrain Time used: 15 	 Loss: 18.043
[Eval] Valid Acc. : 57.39% 	 (31070/54138)
[Eval] Test Acc. : 56.33% 	 (32067/56926)
LogitsTrain Time used: 15 	 Loss: 18.459
[Eval] Valid Acc. : 57.25% 	 (30992/54138)
[Eval] Test Acc. : 56.15% 	 (31962/56926)
LogitsTrain Time used: 15 	 Loss: 17.416
[Eval] Valid Acc. : 57.50% 	 (31130/54138)
[Eval] Test Acc. : 56.26% 	 (32028/56926)
LogitsTrain Time used: 15 	 Loss: 16.175
[Eval] Valid Acc. : 57.61% 	 (31187/54138)
[Eval] Test Acc. : 56.65% 	 (32250/56926)
LogitsTrain Time used: 15 	 Loss: 16.274
[Eval] Valid Acc. : 57.60% 	 (31183/54138)
[Eval] Test Acc. : 56.63% 	 (32240/56926)
LogitsTrain Time used: 14 	 Loss: 16.732
[Eval] Valid Acc. : 57.66% 	 (31217/54138)
[Eval] Test Acc. : 56.63% 	 (32239/56926)
LogitsTrain Time used: 15 	 Loss: 15.822
[Eval] Valid Acc. : 57.60% 	 (31181/54138)
[Eval] Test Acc. : 56.46% 	 (32140/56926)
LogitsTrain Time used: 15 	 Loss: 14.903
[Eval] Valid Acc. : 57.68% 	 (31229/54138)
[Eval] Test Acc. : 56.66% 	 (32256/56926)
LogitsTrain Time used: 14 	 Loss: 15.169
[Eval] Valid Acc. : 57.71% 	 (31241/54138)
[Eval] Test Acc. : 56.63% 	 (32240/56926)
LogitsTrain Time used: 14 	 Loss: 15.540
[Eval] Valid Acc. : 57.66% 	 (31214/54138)
[Eval] Test Acc. : 56.67% 	 (32258/56926)
LogitsTrain Time used: 15 	 Loss: 14.702
[Eval] Valid Acc. : 57.71% 	 (31243/54138)
[Eval] Test Acc. : 56.59% 	 (32214/56926)
LogitsTrain Time used: 15 	 Loss: 13.992
[Eval] Valid Acc. : 57.73% 	 (31256/54138)
[Eval] Test Acc. : 56.50% 	 (32165/56926)
LogitsTrain Time used: 15 	 Loss: 14.448
[Eval] Valid Acc. : 57.70% 	 (31238/54138)
[Eval] Test Acc. : 56.35% 	 (32079/56926)
LogitsTrain Time used: 15 	 Loss: 15.105
[Eval] Valid Acc. : 57.76% 	 (31272/54138)
[Eval] Test Acc. : 56.71% 	 (32280/56926)
LogitsTrain Time used: 15 	 Loss: 13.880
[Eval] Valid Acc. : 57.83% 	 (31307/54138)
[Eval] Test Acc. : 56.71% 	 (32280/56926)
LogitsTrain Time used: 15 	 Loss: 13.364
[Eval] Valid Acc. : 57.78% 	 (31280/54138)
[Eval] Test Acc. : 56.49% 	 (32156/56926)
LogitsTrain Time used: 15 	 Loss: 13.889
[Eval] Valid Acc. : 57.60% 	 (31185/54138)
[Eval] Test Acc. : 56.24% 	 (32015/56926)
LogitsTrain Time used: 15 	 Loss: 14.522
[Eval] Valid Acc. : 57.78% 	 (31280/54138)
[Eval] Test Acc. : 56.56% 	 (32199/56926)
LogitsTrain Time used: 15 	 Loss: 13.354
[Eval] Valid Acc. : 57.81% 	 (31299/54138)
[Eval] Test Acc. : 56.70% 	 (32276/56926)
LogitsTrain Time used: 15 	 Loss: 12.917
[Eval] Valid Acc. : 57.67% 	 (31224/54138)
[Eval] Test Acc. : 56.47% 	 (32145/56926)
LogitsTrain Time used: 15 	 Loss: 13.505
[Eval] Valid Acc. : 57.71% 	 (31244/54138)
[Eval] Test Acc. : 56.41% 	 (32113/56926)
LogitsTrain Time used: 15 	 Loss: 13.801
[Eval] Valid Acc. : 57.70% 	 (31238/54138)
[Eval] Test Acc. : 56.45% 	 (32137/56926)
LogitsTrain Time used: 15 	 Loss: 12.860
[Eval] Valid Acc. : 57.98% 	 (31389/54138)
[Eval] Test Acc. : 56.70% 	 (32276/56926)
LogitsTrain Time used: 15 	 Loss: 12.523
[Eval] Valid Acc. : 57.72% 	 (31250/54138)
[Eval] Test Acc. : 56.45% 	 (32136/56926)
LogitsTrain Time used: 14 	 Loss: 13.127
[Eval] Valid Acc. : 57.70% 	 (31240/54138)
[Eval] Test Acc. : 56.59% 	 (32214/56926)
LogitsTrain Time used: 14 	 Loss: 13.062
[Eval] Valid Acc. : 57.70% 	 (31239/54138)
[Eval] Test Acc. : 56.45% 	 (32135/56926)
LogitsTrain Time used: 15 	 Loss: 12.370
[Eval] Valid Acc. : 57.89% 	 (31343/54138)
[Eval] Test Acc. : 56.63% 	 (32235/56926)
LogitsTrain Time used: 14 	 Loss: 12.190
[Eval] Valid Acc. : 57.77% 	 (31278/54138)
[Eval] Test Acc. : 56.52% 	 (32174/56926)
LogitsTrain Time used: 15 	 Loss: 12.743
[Eval] Valid Acc. : 57.64% 	 (31204/54138)
[Eval] Test Acc. : 56.55% 	 (32190/56926)
LogitsTrain Time used: 14 	 Loss: 12.610
[Eval] Valid Acc. : 57.80% 	 (31292/54138)
[Eval] Test Acc. : 56.52% 	 (32174/56926)
LogitsTrain Time used: 15 	 Loss: 11.949
[Eval] Valid Acc. : 57.86% 	 (31325/54138)
[Eval] Test Acc. : 56.58% 	 (32208/56926)
LogitsTrain Time used: 15 	 Loss: 11.958
[Eval] Valid Acc. : 57.81% 	 (31297/54138)
[Eval] Test Acc. : 56.62% 	 (32234/56926)
LogitsTrain Time used: 14 	 Loss: 12.393
[Eval] Valid Acc. : 57.80% 	 (31292/54138)
[Eval] Test Acc. : 56.65% 	 (32250/56926)
LogitsTrain Time used: 14 	 Loss: 12.310
[Eval] Valid Acc. : 57.77% 	 (31273/54138)
[Eval] Test Acc. : 56.50% 	 (32161/56926)
LogitsTrain Time used: 15 	 Loss: 11.646
[Eval] Valid Acc. : 57.89% 	 (31339/54138)
[Eval] Test Acc. : 56.66% 	 (32252/56926)
LogitsTrain Time used: 15 	 Loss: 11.778
[Eval] Valid Acc. : 57.86% 	 (31323/54138)
[Eval] Test Acc. : 56.71% 	 (32283/56926)
LogitsTrain Time used: 15 	 Loss: 12.228
[Eval] Valid Acc. : 57.88% 	 (31336/54138)
[Eval] Test Acc. : 56.69% 	 (32274/56926)
LogitsTrain Time used: 14 	 Loss: 12.123
[Eval] Valid Acc. : 57.79% 	 (31284/54138)
[Eval] Test Acc. : 56.52% 	 (32174/56926)
Finish training student!
[Result][Student] Best epoch : 34 	Valid. Acc. : 57.9796% 	 Test Acc.: 56.6982%
