========CONFIG===========
part_labeled =  0.03
temp =  6.0
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 15 	 Loss: 1214.859
Using the default mapping tsv
[Eval] Valid Acc. : 33.84% 	 (18320/54138)
[Eval] Test Acc. : 32.67% 	 (18598/56926)
LogitsTrain Time used: 14 	 Loss: 353.383
[Eval] Valid Acc. : 48.66% 	 (26346/54138)
[Eval] Test Acc. : 47.74% 	 (27176/56926)
LogitsTrain Time used: 15 	 Loss: 121.594
[Eval] Valid Acc. : 54.70% 	 (29613/54138)
[Eval] Test Acc. : 53.15% 	 (30259/56926)
LogitsTrain Time used: 15 	 Loss: 79.148
[Eval] Valid Acc. : 55.42% 	 (30002/54138)
[Eval] Test Acc. : 53.86% 	 (30662/56926)
LogitsTrain Time used: 15 	 Loss: 71.716
[Eval] Valid Acc. : 56.00% 	 (30317/54138)
[Eval] Test Acc. : 54.40% 	 (30968/56926)
LogitsTrain Time used: 15 	 Loss: 69.560
[Eval] Valid Acc. : 54.71% 	 (29618/54138)
[Eval] Test Acc. : 53.20% 	 (30283/56926)
LogitsTrain Time used: 15 	 Loss: 59.588
[Eval] Valid Acc. : 56.63% 	 (30657/54138)
[Eval] Test Acc. : 55.09% 	 (31360/56926)
LogitsTrain Time used: 15 	 Loss: 51.944
[Eval] Valid Acc. : 56.80% 	 (30753/54138)
[Eval] Test Acc. : 55.35% 	 (31510/56926)
LogitsTrain Time used: 15 	 Loss: 50.444
[Eval] Valid Acc. : 56.82% 	 (30760/54138)
[Eval] Test Acc. : 55.32% 	 (31489/56926)
LogitsTrain Time used: 15 	 Loss: 52.119
[Eval] Valid Acc. : 56.34% 	 (30499/54138)
[Eval] Test Acc. : 54.87% 	 (31235/56926)
LogitsTrain Time used: 15 	 Loss: 48.368
[Eval] Valid Acc. : 57.09% 	 (30906/54138)
[Eval] Test Acc. : 55.60% 	 (31653/56926)
LogitsTrain Time used: 15 	 Loss: 43.985
[Eval] Valid Acc. : 57.14% 	 (30934/54138)
[Eval] Test Acc. : 55.76% 	 (31740/56926)
LogitsTrain Time used: 15 	 Loss: 43.441
[Eval] Valid Acc. : 57.20% 	 (30969/54138)
[Eval] Test Acc. : 55.91% 	 (31826/56926)
LogitsTrain Time used: 15 	 Loss: 45.606
[Eval] Valid Acc. : 57.16% 	 (30946/54138)
[Eval] Test Acc. : 55.83% 	 (31779/56926)
LogitsTrain Time used: 15 	 Loss: 41.669
[Eval] Valid Acc. : 57.25% 	 (30996/54138)
[Eval] Test Acc. : 55.87% 	 (31807/56926)
LogitsTrain Time used: 14 	 Loss: 39.595
[Eval] Valid Acc. : 57.39% 	 (31071/54138)
[Eval] Test Acc. : 55.99% 	 (31872/56926)
LogitsTrain Time used: 15 	 Loss: 39.814
[Eval] Valid Acc. : 57.04% 	 (30880/54138)
[Eval] Test Acc. : 55.89% 	 (31818/56926)
LogitsTrain Time used: 15 	 Loss: 41.567
[Eval] Valid Acc. : 57.48% 	 (31118/54138)
[Eval] Test Acc. : 56.15% 	 (31965/56926)
LogitsTrain Time used: 15 	 Loss: 38.305
[Eval] Valid Acc. : 57.43% 	 (31090/54138)
[Eval] Test Acc. : 55.98% 	 (31867/56926)
LogitsTrain Time used: 15 	 Loss: 36.869
[Eval] Valid Acc. : 57.44% 	 (31099/54138)
[Eval] Test Acc. : 56.09% 	 (31932/56926)
LogitsTrain Time used: 15 	 Loss: 37.698
[Eval] Valid Acc. : 57.17% 	 (30948/54138)
[Eval] Test Acc. : 55.87% 	 (31806/56926)
LogitsTrain Time used: 14 	 Loss: 40.558
[Eval] Valid Acc. : 57.41% 	 (31082/54138)
[Eval] Test Acc. : 56.21% 	 (31999/56926)
LogitsTrain Time used: 15 	 Loss: 36.217
[Eval] Valid Acc. : 57.53% 	 (31144/54138)
[Eval] Test Acc. : 56.10% 	 (31935/56926)
LogitsTrain Time used: 15 	 Loss: 35.091
[Eval] Valid Acc. : 57.51% 	 (31136/54138)
[Eval] Test Acc. : 56.10% 	 (31937/56926)
LogitsTrain Time used: 15 	 Loss: 36.079
[Eval] Valid Acc. : 57.34% 	 (31043/54138)
[Eval] Test Acc. : 56.04% 	 (31903/56926)
LogitsTrain Time used: 15 	 Loss: 37.574
[Eval] Valid Acc. : 57.48% 	 (31116/54138)
[Eval] Test Acc. : 56.28% 	 (32037/56926)
LogitsTrain Time used: 15 	 Loss: 34.683
[Eval] Valid Acc. : 57.56% 	 (31161/54138)
[Eval] Test Acc. : 56.30% 	 (32048/56926)
LogitsTrain Time used: 15 	 Loss: 33.595
[Eval] Valid Acc. : 57.48% 	 (31121/54138)
[Eval] Test Acc. : 56.12% 	 (31945/56926)
LogitsTrain Time used: 15 	 Loss: 34.679
[Eval] Valid Acc. : 57.43% 	 (31089/54138)
[Eval] Test Acc. : 55.92% 	 (31834/56926)
LogitsTrain Time used: 15 	 Loss: 38.313
[Eval] Valid Acc. : 57.52% 	 (31138/54138)
[Eval] Test Acc. : 56.25% 	 (32020/56926)
LogitsTrain Time used: 15 	 Loss: 33.318
[Eval] Valid Acc. : 57.66% 	 (31218/54138)
[Eval] Test Acc. : 56.35% 	 (32079/56926)
LogitsTrain Time used: 15 	 Loss: 32.534
[Eval] Valid Acc. : 57.54% 	 (31150/54138)
[Eval] Test Acc. : 56.17% 	 (31976/56926)
LogitsTrain Time used: 15 	 Loss: 33.611
[Eval] Valid Acc. : 57.45% 	 (31101/54138)
[Eval] Test Acc. : 56.03% 	 (31896/56926)
LogitsTrain Time used: 15 	 Loss: 36.321
[Eval] Valid Acc. : 57.68% 	 (31229/54138)
[Eval] Test Acc. : 56.34% 	 (32072/56926)
LogitsTrain Time used: 15 	 Loss: 32.405
[Eval] Valid Acc. : 57.66% 	 (31216/54138)
[Eval] Test Acc. : 56.40% 	 (32109/56926)
LogitsTrain Time used: 14 	 Loss: 31.705
[Eval] Valid Acc. : 57.60% 	 (31185/54138)
[Eval] Test Acc. : 56.27% 	 (32035/56926)
LogitsTrain Time used: 15 	 Loss: 32.976
[Eval] Valid Acc. : 57.10% 	 (30914/54138)
[Eval] Test Acc. : 55.62% 	 (31660/56926)
LogitsTrain Time used: 15 	 Loss: 34.990
[Eval] Valid Acc. : 57.61% 	 (31187/54138)
[Eval] Test Acc. : 56.29% 	 (32045/56926)
LogitsTrain Time used: 15 	 Loss: 31.514
[Eval] Valid Acc. : 57.65% 	 (31213/54138)
[Eval] Test Acc. : 56.39% 	 (32099/56926)
LogitsTrain Time used: 15 	 Loss: 30.971
[Eval] Valid Acc. : 57.62% 	 (31192/54138)
[Eval] Test Acc. : 56.33% 	 (32065/56926)
LogitsTrain Time used: 15 	 Loss: 33.258
[Eval] Valid Acc. : 56.61% 	 (30647/54138)
[Eval] Test Acc. : 55.10% 	 (31365/56926)
LogitsTrain Time used: 14 	 Loss: 38.372
[Eval] Valid Acc. : 57.57% 	 (31167/54138)
[Eval] Test Acc. : 56.29% 	 (32041/56926)
LogitsTrain Time used: 14 	 Loss: 31.196
[Eval] Valid Acc. : 57.62% 	 (31196/54138)
[Eval] Test Acc. : 56.33% 	 (32064/56926)
LogitsTrain Time used: 15 	 Loss: 30.704
[Eval] Valid Acc. : 57.67% 	 (31219/54138)
[Eval] Test Acc. : 56.46% 	 (32140/56926)
LogitsTrain Time used: 15 	 Loss: 31.618
[Eval] Valid Acc. : 57.61% 	 (31189/54138)
[Eval] Test Acc. : 56.25% 	 (32022/56926)
