========CONFIG===========
part_labeled =  0.05
temp =  0.5
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 10 	 Loss: 218.211
Using the default mapping tsv
[Eval] Valid Acc. : 30.28% 	 (16016/52893)
[Eval] Test Acc. : 30.41% 	 (17311/56926)
LogitsTrain Time used: 9 	 Loss: 110.782
[Eval] Valid Acc. : 49.42% 	 (26139/52893)
[Eval] Test Acc. : 48.69% 	 (27715/56926)
LogitsTrain Time used: 9 	 Loss: 50.449
[Eval] Valid Acc. : 55.40% 	 (29304/52893)
[Eval] Test Acc. : 54.56% 	 (31057/56926)
LogitsTrain Time used: 10 	 Loss: 36.283
[Eval] Valid Acc. : 57.18% 	 (30243/52893)
[Eval] Test Acc. : 56.42% 	 (32120/56926)
LogitsTrain Time used: 10 	 Loss: 32.664
[Eval] Valid Acc. : 56.97% 	 (30133/52893)
[Eval] Test Acc. : 55.61% 	 (31658/56926)
LogitsTrain Time used: 10 	 Loss: 32.043
[Eval] Valid Acc. : 58.83% 	 (31118/52893)
[Eval] Test Acc. : 57.59% 	 (32783/56926)
LogitsTrain Time used: 10 	 Loss: 25.345
[Eval] Valid Acc. : 59.71% 	 (31584/52893)
[Eval] Test Acc. : 58.50% 	 (33301/56926)
LogitsTrain Time used: 10 	 Loss: 22.145
[Eval] Valid Acc. : 59.93% 	 (31697/52893)
[Eval] Test Acc. : 58.79% 	 (33467/56926)
LogitsTrain Time used: 10 	 Loss: 21.744
[Eval] Valid Acc. : 59.30% 	 (31366/52893)
[Eval] Test Acc. : 58.17% 	 (33115/56926)
LogitsTrain Time used: 10 	 Loss: 22.183
[Eval] Valid Acc. : 60.20% 	 (31841/52893)
[Eval] Test Acc. : 59.29% 	 (33753/56926)
LogitsTrain Time used: 10 	 Loss: 19.720
[Eval] Valid Acc. : 60.85% 	 (32183/52893)
[Eval] Test Acc. : 59.73% 	 (34002/56926)
LogitsTrain Time used: 10 	 Loss: 18.547
[Eval] Valid Acc. : 60.61% 	 (32059/52893)
[Eval] Test Acc. : 59.50% 	 (33873/56926)
LogitsTrain Time used: 10 	 Loss: 18.257
[Eval] Valid Acc. : 60.60% 	 (32052/52893)
[Eval] Test Acc. : 59.51% 	 (33876/56926)
LogitsTrain Time used: 10 	 Loss: 19.367
[Eval] Valid Acc. : 60.67% 	 (32092/52893)
[Eval] Test Acc. : 59.70% 	 (33983/56926)
LogitsTrain Time used: 10 	 Loss: 17.592
[Eval] Valid Acc. : 61.08% 	 (32307/52893)
[Eval] Test Acc. : 59.98% 	 (34142/56926)
LogitsTrain Time used: 10 	 Loss: 16.563
[Eval] Valid Acc. : 60.96% 	 (32246/52893)
[Eval] Test Acc. : 59.90% 	 (34097/56926)
LogitsTrain Time used: 10 	 Loss: 16.758
[Eval] Valid Acc. : 60.35% 	 (31919/52893)
[Eval] Test Acc. : 59.31% 	 (33763/56926)
LogitsTrain Time used: 10 	 Loss: 17.478
[Eval] Valid Acc. : 60.98% 	 (32256/52893)
[Eval] Test Acc. : 59.84% 	 (34066/56926)
LogitsTrain Time used: 10 	 Loss: 16.320
[Eval] Valid Acc. : 60.83% 	 (32176/52893)
[Eval] Test Acc. : 59.81% 	 (34047/56926)
LogitsTrain Time used: 10 	 Loss: 15.456
[Eval] Valid Acc. : 61.08% 	 (32309/52893)
[Eval] Test Acc. : 60.18% 	 (34260/56926)
LogitsTrain Time used: 10 	 Loss: 15.715
[Eval] Valid Acc. : 60.05% 	 (31764/52893)
[Eval] Test Acc. : 58.47% 	 (33285/56926)
LogitsTrain Time used: 10 	 Loss: 16.129
[Eval] Valid Acc. : 61.10% 	 (32316/52893)
[Eval] Test Acc. : 59.97% 	 (34141/56926)
LogitsTrain Time used: 11 	 Loss: 15.343
[Eval] Valid Acc. : 61.02% 	 (32276/52893)
[Eval] Test Acc. : 60.12% 	 (34222/56926)
LogitsTrain Time used: 10 	 Loss: 14.641
[Eval] Valid Acc. : 60.96% 	 (32244/52893)
[Eval] Test Acc. : 60.00% 	 (34156/56926)
LogitsTrain Time used: 12 	 Loss: 15.078
[Eval] Valid Acc. : 60.76% 	 (32139/52893)
[Eval] Test Acc. : 59.61% 	 (33936/56926)
LogitsTrain Time used: 10 	 Loss: 15.482
[Eval] Valid Acc. : 60.49% 	 (31997/52893)
[Eval] Test Acc. : 59.54% 	 (33895/56926)
LogitsTrain Time used: 10 	 Loss: 14.513
[Eval] Valid Acc. : 61.21% 	 (32374/52893)
[Eval] Test Acc. : 60.21% 	 (34275/56926)
LogitsTrain Time used: 10 	 Loss: 14.058
[Eval] Valid Acc. : 61.40% 	 (32474/52893)
[Eval] Test Acc. : 60.30% 	 (34324/56926)
LogitsTrain Time used: 10 	 Loss: 14.557
[Eval] Valid Acc. : 60.67% 	 (32092/52893)
[Eval] Test Acc. : 59.98% 	 (34142/56926)
LogitsTrain Time used: 10 	 Loss: 15.210
[Eval] Valid Acc. : 61.02% 	 (32275/52893)
[Eval] Test Acc. : 59.71% 	 (33991/56926)
LogitsTrain Time used: 10 	 Loss: 14.191
[Eval] Valid Acc. : 61.20% 	 (32372/52893)
[Eval] Test Acc. : 60.16% 	 (34244/56926)
LogitsTrain Time used: 10 	 Loss: 13.779
[Eval] Valid Acc. : 60.88% 	 (32201/52893)
[Eval] Test Acc. : 59.84% 	 (34063/56926)
LogitsTrain Time used: 10 	 Loss: 14.383
[Eval] Valid Acc. : 60.99% 	 (32262/52893)
[Eval] Test Acc. : 59.96% 	 (34130/56926)
LogitsTrain Time used: 10 	 Loss: 14.532
[Eval] Valid Acc. : 60.81% 	 (32162/52893)
[Eval] Test Acc. : 59.85% 	 (34073/56926)
LogitsTrain Time used: 10 	 Loss: 13.536
[Eval] Valid Acc. : 61.20% 	 (32368/52893)
[Eval] Test Acc. : 60.18% 	 (34258/56926)
LogitsTrain Time used: 10 	 Loss: 13.388
[Eval] Valid Acc. : 61.40% 	 (32478/52893)
[Eval] Test Acc. : 60.52% 	 (34453/56926)
LogitsTrain Time used: 10 	 Loss: 14.043
[Eval] Valid Acc. : 60.40% 	 (31947/52893)
[Eval] Test Acc. : 59.41% 	 (33817/56926)
LogitsTrain Time used: 10 	 Loss: 14.249
[Eval] Valid Acc. : 61.48% 	 (32516/52893)
[Eval] Test Acc. : 60.60% 	 (34499/56926)
LogitsTrain Time used: 10 	 Loss: 13.124
[Eval] Valid Acc. : 61.32% 	 (32436/52893)
[Eval] Test Acc. : 60.38% 	 (34374/56926)
LogitsTrain Time used: 10 	 Loss: 13.043
[Eval] Valid Acc. : 61.01% 	 (32272/52893)
[Eval] Test Acc. : 60.06% 	 (34192/56926)
LogitsTrain Time used: 10 	 Loss: 13.659
[Eval] Valid Acc. : 60.49% 	 (31993/52893)
[Eval] Test Acc. : 59.77% 	 (34023/56926)
LogitsTrain Time used: 10 	 Loss: 13.890
[Eval] Valid Acc. : 61.24% 	 (32390/52893)
[Eval] Test Acc. : 60.35% 	 (34353/56926)
LogitsTrain Time used: 10 	 Loss: 12.904
[Eval] Valid Acc. : 61.35% 	 (32448/52893)
[Eval] Test Acc. : 60.31% 	 (34330/56926)
LogitsTrain Time used: 10 	 Loss: 12.815
[Eval] Valid Acc. : 61.75% 	 (32659/52893)
[Eval] Test Acc. : 60.76% 	 (34587/56926)
LogitsTrain Time used: 10 	 Loss: 13.489
[Eval] Valid Acc. : 59.92% 	 (31696/52893)
[Eval] Test Acc. : 58.37% 	 (33230/56926)
LogitsTrain Time used: 10 	 Loss: 13.460
[Eval] Valid Acc. : 61.17% 	 (32356/52893)
[Eval] Test Acc. : 60.24% 	 (34293/56926)
LogitsTrain Time used: 10 	 Loss: 12.535
[Eval] Valid Acc. : 61.34% 	 (32443/52893)
[Eval] Test Acc. : 60.42% 	 (34395/56926)
LogitsTrain Time used: 10 	 Loss: 12.571
[Eval] Valid Acc. : 61.44% 	 (32500/52893)
[Eval] Test Acc. : 60.33% 	 (34344/56926)
LogitsTrain Time used: 10 	 Loss: 13.138
[Eval] Valid Acc. : 60.54% 	 (32019/52893)
[Eval] Test Acc. : 59.46% 	 (33847/56926)
LogitsTrain Time used: 10 	 Loss: 13.029
[Eval] Valid Acc. : 61.38% 	 (32468/52893)
[Eval] Test Acc. : 60.34% 	 (34347/56926)
Finish training student!
[Result][Student] Best epoch : 43 	Valid. Acc. : 61.7454% 	 Test Acc.: 60.7578%
