========CONFIG===========
part_labeled =  0.1
temp =  0.5
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 10 	 Loss: 239.617
Using the default mapping tsv
[Eval] Valid Acc. : 28.27% 	 (14955/52893)
[Eval] Test Acc. : 27.65% 	 (15741/56926)
LogitsTrain Time used: 9 	 Loss: 145.549
[Eval] Valid Acc. : 49.62% 	 (26245/52893)
[Eval] Test Acc. : 49.74% 	 (28317/56926)
LogitsTrain Time used: 10 	 Loss: 83.752
[Eval] Valid Acc. : 56.68% 	 (29981/52893)
[Eval] Test Acc. : 56.57% 	 (32205/56926)
LogitsTrain Time used: 9 	 Loss: 66.257
[Eval] Valid Acc. : 60.03% 	 (31751/52893)
[Eval] Test Acc. : 59.10% 	 (33645/56926)
LogitsTrain Time used: 10 	 Loss: 61.353
[Eval] Valid Acc. : 59.46% 	 (31450/52893)
[Eval] Test Acc. : 58.84% 	 (33495/56926)
LogitsTrain Time used: 10 	 Loss: 58.725
[Eval] Valid Acc. : 60.19% 	 (31835/52893)
[Eval] Test Acc. : 59.60% 	 (33929/56926)
LogitsTrain Time used: 10 	 Loss: 49.110
[Eval] Valid Acc. : 63.95% 	 (33825/52893)
[Eval] Test Acc. : 62.87% 	 (35790/56926)
LogitsTrain Time used: 10 	 Loss: 43.699
[Eval] Valid Acc. : 64.65% 	 (34195/52893)
[Eval] Test Acc. : 63.62% 	 (36218/56926)
LogitsTrain Time used: 10 	 Loss: 42.663
[Eval] Valid Acc. : 62.85% 	 (33245/52893)
[Eval] Test Acc. : 62.24% 	 (35429/56926)
LogitsTrain Time used: 10 	 Loss: 42.940
[Eval] Valid Acc. : 64.25% 	 (33984/52893)
[Eval] Test Acc. : 62.50% 	 (35581/56926)
LogitsTrain Time used: 10 	 Loss: 39.637
[Eval] Valid Acc. : 65.62% 	 (34708/52893)
[Eval] Test Acc. : 64.67% 	 (36815/56926)
LogitsTrain Time used: 10 	 Loss: 36.656
[Eval] Valid Acc. : 66.27% 	 (35054/52893)
[Eval] Test Acc. : 65.07% 	 (37041/56926)
LogitsTrain Time used: 10 	 Loss: 36.719
[Eval] Valid Acc. : 65.54% 	 (34668/52893)
[Eval] Test Acc. : 64.50% 	 (36715/56926)
LogitsTrain Time used: 9 	 Loss: 37.548
[Eval] Valid Acc. : 65.45% 	 (34621/52893)
[Eval] Test Acc. : 64.09% 	 (36482/56926)
LogitsTrain Time used: 10 	 Loss: 35.292
[Eval] Valid Acc. : 66.66% 	 (35261/52893)
[Eval] Test Acc. : 65.66% 	 (37378/56926)
LogitsTrain Time used: 10 	 Loss: 33.116
[Eval] Valid Acc. : 66.49% 	 (35171/52893)
[Eval] Test Acc. : 65.35% 	 (37200/56926)
LogitsTrain Time used: 10 	 Loss: 33.588
[Eval] Valid Acc. : 65.89% 	 (34851/52893)
[Eval] Test Acc. : 64.21% 	 (36554/56926)
LogitsTrain Time used: 10 	 Loss: 34.803
[Eval] Valid Acc. : 66.22% 	 (35027/52893)
[Eval] Test Acc. : 65.38% 	 (37219/56926)
LogitsTrain Time used: 10 	 Loss: 32.734
[Eval] Valid Acc. : 66.95% 	 (35410/52893)
[Eval] Test Acc. : 65.95% 	 (37543/56926)
LogitsTrain Time used: 10 	 Loss: 31.114
[Eval] Valid Acc. : 66.81% 	 (35339/52893)
[Eval] Test Acc. : 65.99% 	 (37566/56926)
LogitsTrain Time used: 10 	 Loss: 31.672
[Eval] Valid Acc. : 66.39% 	 (35114/52893)
[Eval] Test Acc. : 65.35% 	 (37200/56926)
LogitsTrain Time used: 10 	 Loss: 33.134
[Eval] Valid Acc. : 65.32% 	 (34550/52893)
[Eval] Test Acc. : 64.81% 	 (36895/56926)
LogitsTrain Time used: 10 	 Loss: 31.030
[Eval] Valid Acc. : 67.24% 	 (35566/52893)
[Eval] Test Acc. : 66.21% 	 (37692/56926)
LogitsTrain Time used: 10 	 Loss: 29.488
[Eval] Valid Acc. : 67.18% 	 (35536/52893)
[Eval] Test Acc. : 66.16% 	 (37661/56926)
LogitsTrain Time used: 9 	 Loss: 30.371
[Eval] Valid Acc. : 66.05% 	 (34935/52893)
[Eval] Test Acc. : 65.35% 	 (37200/56926)
