========CONFIG===========
part_labeled =  0.1
temp =  10.0
========CONFIG===========
[Student] CyclicLR step size =  70
LogitsTrain Time used: 10 	 Loss: 1738.195
Using the default mapping tsv
[Eval] Valid Acc. : 30.37% 	 (16063/52893)
[Eval] Test Acc. : 30.26% 	 (17228/56926)
LogitsTrain Time used: 10 	 Loss: 699.126
[Eval] Valid Acc. : 47.78% 	 (25270/52893)
[Eval] Test Acc. : 47.37% 	 (26964/56926)
LogitsTrain Time used: 10 	 Loss: 364.714
[Eval] Valid Acc. : 58.88% 	 (31144/52893)
[Eval] Test Acc. : 58.79% 	 (33468/56926)
LogitsTrain Time used: 10 	 Loss: 246.419
[Eval] Valid Acc. : 60.92% 	 (32225/52893)
[Eval] Test Acc. : 60.57% 	 (34481/56926)
LogitsTrain Time used: 10 	 Loss: 222.936
[Eval] Valid Acc. : 61.98% 	 (32785/52893)
[Eval] Test Acc. : 61.37% 	 (34936/56926)
LogitsTrain Time used: 10 	 Loss: 211.704
[Eval] Valid Acc. : 63.14% 	 (33397/52893)
[Eval] Test Acc. : 62.09% 	 (35343/56926)
LogitsTrain Time used: 10 	 Loss: 177.872
[Eval] Valid Acc. : 64.50% 	 (34114/52893)
[Eval] Test Acc. : 63.67% 	 (36245/56926)
LogitsTrain Time used: 10 	 Loss: 161.297
[Eval] Valid Acc. : 64.79% 	 (34271/52893)
[Eval] Test Acc. : 64.22% 	 (36558/56926)
LogitsTrain Time used: 10 	 Loss: 159.219
[Eval] Valid Acc. : 64.81% 	 (34279/52893)
[Eval] Test Acc. : 64.29% 	 (36599/56926)
LogitsTrain Time used: 10 	 Loss: 166.449
[Eval] Valid Acc. : 64.36% 	 (34041/52893)
[Eval] Test Acc. : 63.93% 	 (36392/56926)
LogitsTrain Time used: 10 	 Loss: 149.006
[Eval] Valid Acc. : 66.04% 	 (34928/52893)
[Eval] Test Acc. : 65.32% 	 (37183/56926)
LogitsTrain Time used: 10 	 Loss: 140.656
[Eval] Valid Acc. : 66.10% 	 (34962/52893)
[Eval] Test Acc. : 65.31% 	 (37177/56926)
